task_timestamp,original_server,assigned_server,task_priority,task_cpu_usage,estimated_server_cpu,estimated_power_usage,estimated_temperature,thermal_status,optimization_score
2026-01-01T14:10:00,server_004,server_025,3,86.0,62.41,483.38,44.45,Warning,123.6
2026-01-06T15:25:00,server_002,server_037,3,83.0,62.15,481.94,44.64,Warning,123.78
2026-01-03T14:25:00,server_017,server_014,3,83.0,62.96,484.39,44.94,Warning,124.74
2026-01-11T14:30:00,server_032,server_027,3,82.0,63.09,486.94,44.74,Warning,124.97
2026-01-02T16:40:00,server_023,server_034,3,82.0,63.63,485.8,45.03,Critical,125.34
2026-01-17T16:20:00,server_031,server_024,3,82.0,63.06,487.72,44.85,Warning,125.37
2026-01-02T13:55:00,server_008,server_026,3,82.0,62.98,489.23,44.82,Warning,125.87
2026-01-04T16:10:00,server_027,server_045,3,81.0,63.19,490.7,44.99,Warning,126.26
2026-01-16T15:55:00,server_005,server_007,3,81.0,63.34,491.68,45.13,Critical,126.26
2026-01-11T12:10:00,server_012,server_042,3,80.0,63.76,491.09,45.13,Critical,126.56
2026-01-01T15:10:00,server_042,server_025,3,80.0,61.69,480.42,44.28,Warning,123.6
2026-01-17T13:25:00,server_011,server_037,3,80.0,61.79,481.62,44.61,Warning,123.78
2026-01-02T14:55:00,server_044,server_014,3,79.0,62.48,486.79,44.89,Warning,124.74
2026-01-09T14:45:00,server_023,server_027,3,79.0,62.73,484.06,44.56,Warning,124.97
2026-01-13T10:40:00,server_008,server_034,3,79.0,63.27,484.28,44.98,Warning,125.34
2026-01-13T15:15:00,server_033,server_024,3,79.0,62.7,486.12,44.82,Warning,125.37
2026-01-15T17:10:00,server_011,server_026,3,79.0,62.62,490.03,44.81,Warning,125.87
2026-01-14T13:25:00,server_036,server_045,3,79.0,62.95,490.3,45.05,Critical,126.26
2026-01-16T12:20:00,server_002,server_007,3,79.0,63.1,489.2,45.02,Critical,126.26
2026-01-02T13:30:00,server_038,server_042,3,79.0,63.64,490.69,45.1,Critical,126.56
2026-01-05T15:20:00,server_046,server_025,3,79.0,61.57,479.94,44.22,Warning,123.6
2026-01-03T12:35:00,server_050,server_037,3,79.0,61.67,480.26,44.58,Warning,123.78
2026-01-13T13:55:00,server_004,server_014,3,79.0,62.48,483.11,44.77,Warning,124.74
2026-01-17T14:20:00,server_044,server_027,3,79.0,62.73,486.14,44.65,Warning,124.97
2026-01-01T13:10:00,server_047,server_034,3,78.0,63.15,484.68,44.99,Warning,125.34
2026-01-13T16:55:00,server_030,server_024,3,78.0,62.58,485.88,44.82,Warning,125.37
2026-01-15T17:00:00,server_001,server_026,3,78.0,62.5,487.71,44.64,Warning,125.87
2026-01-03T12:45:00,server_021,server_045,3,78.0,62.83,488.06,44.97,Warning,126.26
2026-01-10T13:00:00,server_005,server_007,3,78.0,62.98,488.96,44.99,Warning,126.26
2026-01-06T15:55:00,server_047,server_042,3,78.0,63.52,487.89,45.09,Critical,126.56
2026-01-05T16:10:00,server_017,server_025,3,78.0,61.45,479.38,44.21,Warning,123.6
2026-01-05T11:45:00,server_017,server_037,3,77.0,61.43,481.3,44.58,Warning,123.78
2026-01-06T17:55:00,server_043,server_014,3,77.0,62.24,483.75,44.65,Warning,124.74
2026-01-08T13:10:00,server_044,server_027,3,77.0,62.49,484.7,44.56,Warning,124.97
2026-01-12T14:35:00,server_024,server_034,3,77.0,63.03,485.16,45.01,Critical,125.34
2026-01-03T12:40:00,server_003,server_024,3,77.0,62.46,482.84,44.78,Warning,125.37
2026-01-13T14:35:00,server_041,server_026,3,77.0,62.38,485.87,44.63,Warning,125.87
2026-01-05T18:55:00,server_002,server_045,3,77.0,62.71,489.5,44.85,Warning,126.26
2026-01-08T13:20:00,server_044,server_007,3,77.0,62.86,489.44,44.96,Warning,126.26
2026-01-08T13:45:00,server_017,server_042,3,77.0,63.4,488.21,45.01,Critical,126.56
2026-01-04T13:35:00,server_040,server_025,3,77.0,61.33,480.82,44.25,Warning,123.6
2026-01-14T15:25:00,server_010,server_037,3,77.0,61.43,479.78,44.51,Warning,123.78
2026-01-04T14:35:00,server_002,server_014,3,76.0,62.12,483.51,44.72,Warning,124.74
2026-01-03T14:15:00,server_025,server_027,3,76.0,62.37,483.9,44.53,Warning,124.97
2026-01-05T16:40:00,server_031,server_034,3,76.0,62.91,482.68,44.86,Warning,125.34
2026-01-11T13:20:00,server_045,server_024,3,76.0,62.34,483.24,44.68,Warning,125.37
2026-01-12T18:20:00,server_011,server_026,3,76.0,62.26,488.11,44.65,Warning,125.87
2026-01-05T12:40:00,server_035,server_045,3,76.0,62.59,490.14,45.08,Critical,126.26
2026-01-06T14:20:00,server_042,server_007,3,76.0,62.74,488.24,44.99,Warning,126.26
2026-01-12T12:40:00,server_013,server_042,3,76.0,63.28,488.53,45.01,Critical,126.56
2026-01-07T14:20:00,server_005,server_025,3,76.0,61.21,479.46,44.16,Warning,123.6
2026-01-08T14:50:00,server_046,server_037,3,76.0,61.31,480.42,44.43,Warning,123.78
2026-01-07T13:45:00,server_046,server_014,3,76.0,62.12,484.71,44.82,Warning,124.74
2026-01-07T13:30:00,server_021,server_027,3,76.0,62.37,484.62,44.63,Warning,124.97
2026-01-10T17:35:00,server_047,server_034,3,76.0,62.91,484.04,44.83,Warning,125.34
2026-01-02T15:50:00,server_021,server_024,3,75.0,62.22,483.4,44.68,Warning,125.37
2026-01-14T14:30:00,server_004,server_026,3,75.0,62.14,484.99,44.64,Warning,125.87
2026-01-07T16:15:00,server_038,server_045,3,75.0,62.47,489.9,44.98,Warning,126.26
2026-01-12T10:00:00,server_010,server_007,3,75.0,62.62,489.52,44.99,Warning,126.26
2026-01-08T14:10:00,server_002,server_042,3,75.0,63.16,488.77,44.99,Warning,126.56
2026-01-12T11:25:00,server_031,server_025,3,75.0,61.09,477.46,44.1,Warning,123.6
2026-01-07T11:55:00,server_039,server_037,3,75.0,61.19,478.18,44.38,Warning,123.78
2026-01-03T10:05:00,server_020,server_014,3,75.0,62.0,482.79,44.72,Warning,124.74
2026-01-12T12:20:00,server_001,server_027,3,75.0,62.25,483.74,44.55,Warning,124.97
2026-01-03T13:35:00,server_014,server_034,3,75.0,62.79,483.4,44.89,Warning,125.34
2026-01-06T13:00:00,server_002,server_024,3,74.0,62.1,484.76,44.72,Warning,125.37
2026-01-17T12:35:00,server_042,server_026,3,74.0,62.02,488.35,44.68,Warning,125.87
2026-01-05T14:30:00,server_021,server_045,3,74.0,62.35,487.66,44.87,Warning,126.26
2026-01-10T12:30:00,server_005,server_007,3,74.0,62.5,488.64,45.0,Critical,126.26
2026-01-15T16:05:00,server_043,server_042,3,74.0,63.04,487.33,44.92,Warning,126.56
2026-01-10T14:45:00,server_020,server_025,3,74.0,60.97,479.38,44.09,Warning,123.6
2026-01-10T16:20:00,server_016,server_037,3,74.0,61.07,478.58,44.34,Warning,123.78
2026-01-09T15:00:00,server_044,server_014,3,74.0,61.88,480.79,44.64,Warning,124.74
2026-01-11T15:50:00,server_046,server_027,3,74.0,62.13,484.14,44.51,Warning,124.97
2026-01-13T15:40:00,server_014,server_034,3,74.0,62.67,483.72,44.84,Warning,125.34
2026-01-06T17:50:00,server_015,server_024,3,74.0,62.1,485.8,44.65,Warning,125.37
2026-01-12T11:00:00,server_009,server_026,3,74.0,62.02,488.19,44.7,Warning,125.87
2026-01-06T13:30:00,server_012,server_045,3,73.0,62.23,489.42,44.89,Warning,126.26
2026-01-03T15:35:00,server_013,server_007,3,73.0,62.38,488.8,44.88,Warning,126.26
2026-01-12T13:50:00,server_044,server_042,3,73.0,62.92,485.17,44.88,Warning,126.56
2026-01-15T11:30:00,server_004,server_025,3,73.0,60.85,479.06,44.16,Warning,123.6
2026-01-10T12:35:00,server_020,server_037,3,73.0,60.95,478.26,44.41,Warning,123.78
2026-01-16T17:05:00,server_030,server_014,3,73.0,61.76,481.83,44.61,Warning,124.74
2026-01-06T14:10:00,server_033,server_027,3,73.0,62.01,482.38,44.43,Warning,124.97
2026-01-13T14:15:00,server_050,server_034,3,73.0,62.55,482.36,44.85,Warning,125.34
2026-01-08T13:40:00,server_016,server_024,3,73.0,61.98,481.64,44.61,Warning,125.37
2026-01-01T14:00:00,server_006,server_026,3,73.0,61.9,485.79,44.59,Warning,125.87
2026-01-03T14:40:00,server_018,server_045,3,73.0,62.23,485.5,44.81,Warning,126.26
2026-01-12T15:50:00,server_030,server_007,3,73.0,62.38,488.08,44.87,Warning,126.26
2026-01-06T15:10:00,server_023,server_042,3,73.0,62.92,488.61,44.93,Warning,126.56
2026-01-06T14:00:00,server_017,server_025,3,73.0,60.85,478.26,44.03,Warning,123.6
2026-01-07T16:50:00,server_022,server_037,3,73.0,60.95,479.38,44.36,Warning,123.78
2026-01-11T16:45:00,server_035,server_014,3,73.0,61.76,481.99,44.6,Warning,124.74
2026-01-13T13:10:00,server_031,server_027,3,73.0,62.01,480.7,44.49,Warning,124.97
2026-01-17T18:05:00,server_013,server_034,3,73.0,62.55,481.16,44.69,Warning,125.34
2026-01-15T12:50:00,server_032,server_024,3,73.0,61.98,484.92,44.66,Warning,125.37
2026-01-09T13:25:00,server_018,server_026,3,73.0,61.9,486.03,44.56,Warning,125.87
2026-01-09T15:15:00,server_020,server_045,3,73.0,62.23,487.5,44.81,Warning,126.26
2026-01-10T18:45:00,server_009,server_007,3,73.0,62.38,487.92,44.79,Warning,126.26
2026-01-10T16:25:00,server_020,server_042,3,72.0,62.8,486.85,44.87,Warning,126.56
