timestamp,server_id,cpu_usage,memory_usage,disk_io,network_io,task_duration,priority,outside_temperature,cooling_efficiency,power_usage,temperature,thermal_status
2026-01-01T00:00:00,server_034,33.00,31.00,99.00,100.00,15.00,2,17.13,0.80,318.00,33.47,Normal
2026-01-01T00:05:00,server_038,33.00,29.00,58.00,150.00,27.00,2,16.19,0.77,318.00,31.84,Normal
2026-01-01T00:10:00,server_046,40.00,35.00,109.00,292.00,18.00,2,16.27,0.80,374.00,35.85,Warning
2026-01-01T00:15:00,server_018,30.00,31.00,70.00,92.00,102.00,3,17.10,0.70,348.00,34.40,Normal
2026-01-01T00:20:00,server_028,44.00,44.00,179.00,181.00,33.00,1,18.13,0.81,380.00,37.19,Warning
2026-01-01T00:25:00,server_034,35.00,44.00,171.00,205.00,16.00,3,16.75,0.79,368.00,34.45,Normal
2026-01-01T00:30:00,server_045,48.00,45.00,164.00,274.00,94.00,1,16.75,0.82,396.00,36.71,Warning
2026-01-01T00:35:00,server_027,40.00,36.00,101.00,148.00,115.00,1,17.18,0.80,347.00,35.18,Warning
2026-01-01T00:40:00,server_049,45.00,45.00,136.00,154.00,37.00,2,16.65,0.80,406.00,38.46,Warning
2026-01-01T00:45:00,server_026,42.00,37.00,62.00,329.00,20.00,3,15.66,0.78,407.00,37.50,Warning
2026-01-01T00:50:00,server_040,52.00,62.00,215.00,228.00,106.00,1,17.52,0.79,435.00,38.75,Warning
2026-01-01T00:55:00,server_038,39.00,45.00,132.00,277.00,76.00,3,17.21,0.83,393.00,36.69,Warning
2026-01-01T01:00:00,server_019,29.00,33.00,93.00,101.00,101.00,2,18.12,0.77,316.00,33.42,Normal
2026-01-01T01:05:00,server_024,41.00,35.00,49.00,252.00,16.00,3,16.57,0.80,386.00,35.84,Warning
2026-01-01T01:10:00,server_004,34.00,34.00,97.00,163.00,33.00,3,16.76,0.73,363.00,35.13,Warning
2026-01-01T01:15:00,server_037,36.00,31.00,126.00,157.00,14.00,2,18.06,0.79,331.00,34.88,Normal
2026-01-01T01:20:00,server_021,37.00,41.00,160.00,238.00,60.00,2,16.60,0.81,369.00,35.38,Warning
2026-01-01T01:25:00,server_039,28.00,45.00,108.00,137.00,119.00,3,16.98,0.75,337.00,33.71,Normal
2026-01-01T01:30:00,server_001,53.00,56.00,106.00,333.00,34.00,2,18.72,0.75,452.00,41.22,Warning
2026-01-01T01:35:00,server_006,36.00,35.00,127.00,204.00,22.00,3,17.14,0.74,378.00,36.16,Warning
2026-01-01T01:40:00,server_016,34.00,30.00,92.00,84.00,19.00,3,17.62,0.74,337.00,35.16,Warning
2026-01-01T01:45:00,server_027,49.00,49.00,193.00,239.00,86.00,1,17.70,0.78,411.00,38.43,Warning
2026-01-01T01:50:00,server_037,39.00,33.00,111.00,226.00,39.00,3,16.86,0.76,370.00,36.54,Warning
2026-01-01T01:55:00,server_046,38.00,29.00,160.00,190.00,18.00,3,17.09,0.82,363.00,36.08,Warning
2026-01-01T02:00:00,server_027,51.00,35.00,234.00,203.00,46.00,3,17.58,0.85,439.00,38.76,Warning
2026-01-01T02:05:00,server_050,35.00,40.00,53.00,259.00,29.00,1,18.02,0.80,344.00,35.09,Warning
2026-01-01T02:10:00,server_004,43.00,47.00,106.00,153.00,71.00,3,18.23,0.80,402.00,37.69,Warning
2026-01-01T02:15:00,server_050,50.00,43.00,117.00,173.00,43.00,3,17.46,0.74,446.00,40.68,Warning
2026-01-01T02:20:00,server_005,38.00,38.00,92.00,268.00,21.00,2,16.42,0.74,363.00,35.69,Warning
2026-01-01T02:25:00,server_049,36.00,39.00,56.00,151.00,28.00,2,17.36,0.79,347.00,34.35,Normal
2026-01-01T02:30:00,server_008,44.00,50.00,120.00,297.00,60.00,3,17.75,0.74,434.00,39.25,Warning
2026-01-01T02:35:00,server_037,33.00,28.00,74.00,268.00,42.00,1,17.62,0.83,298.00,31.98,Normal
2026-01-01T02:40:00,server_005,30.00,35.00,62.00,126.00,47.00,1,17.60,0.84,290.00,31.33,Normal
2026-01-01T02:45:00,server_001,44.00,51.00,206.00,144.00,240.00,3,17.64,0.73,419.00,38.78,Warning
2026-01-01T02:50:00,server_031,42.00,42.00,160.00,308.00,31.00,3,17.93,0.79,399.00,37.91,Warning
2026-01-01T02:55:00,server_029,44.00,46.00,202.00,105.00,32.00,2,16.79,0.74,404.00,36.97,Warning
2026-01-01T03:00:00,server_049,38.00,32.00,121.00,166.00,67.00,2,18.31,0.74,344.00,34.92,Normal
2026-01-01T03:05:00,server_001,48.00,41.00,115.00,348.00,23.00,1,18.49,0.76,389.00,36.87,Warning
2026-01-01T03:10:00,server_006,39.00,38.00,108.00,155.00,22.00,2,19.53,0.78,365.00,35.01,Warning
2026-01-01T03:15:00,server_014,30.00,32.00,82.00,126.00,12.00,1,19.67,0.82,299.00,32.50,Normal
2026-01-01T03:20:00,server_013,44.00,49.00,169.00,152.00,48.00,1,20.47,0.72,366.00,37.83,Warning
2026-01-01T03:25:00,server_048,42.00,43.00,141.00,279.00,18.00,3,19.58,0.82,402.00,36.73,Warning
2026-01-01T03:30:00,server_040,41.00,35.00,106.00,151.00,48.00,2,19.88,0.83,381.00,35.93,Warning
2026-01-01T03:35:00,server_038,31.00,27.00,108.00,209.00,17.00,2,19.71,0.77,315.00,34.83,Normal
2026-01-01T03:40:00,server_021,28.00,30.00,87.00,169.00,195.00,3,18.70,0.78,317.00,33.68,Normal
2026-01-01T03:45:00,server_022,44.00,33.00,153.00,194.00,45.00,2,18.79,0.81,391.00,36.53,Warning
2026-01-01T03:50:00,server_029,34.00,39.00,131.00,83.00,69.00,1,18.17,0.83,343.00,33.55,Normal
2026-01-01T03:55:00,server_038,40.00,43.00,131.00,272.00,59.00,3,19.42,0.84,381.00,36.76,Warning
2026-01-01T04:00:00,server_012,40.00,39.00,79.00,307.00,50.00,1,19.24,0.85,358.00,34.55,Normal
2026-01-01T04:05:00,server_007,54.00,56.00,86.00,147.00,20.00,2,19.14,0.76,438.00,40.18,Warning
2026-01-01T04:10:00,server_015,48.00,60.00,204.00,185.00,102.00,3,19.76,0.69,438.00,40.52,Warning
2026-01-01T04:15:00,server_015,35.00,31.00,127.00,126.00,48.00,3,21.82,0.78,362.00,36.39,Warning
2026-01-01T04:20:00,server_041,43.00,49.00,115.00,205.00,86.00,2,21.10,0.77,392.00,38.30,Warning
2026-01-01T04:25:00,server_013,47.00,39.00,86.00,391.00,39.00,2,19.93,0.77,400.00,38.26,Warning
2026-01-01T04:30:00,server_029,48.00,40.00,124.00,367.00,72.00,2,21.27,0.79,401.00,39.74,Warning
2026-01-01T04:35:00,server_021,49.00,49.00,206.00,331.00,30.00,3,20.86,0.79,437.00,40.15,Warning
2026-01-01T04:40:00,server_009,50.00,42.00,196.00,319.00,46.00,3,19.92,0.81,444.00,40.25,Warning
2026-01-01T04:45:00,server_032,47.00,37.00,115.00,321.00,27.00,1,21.70,0.72,376.00,39.18,Warning
2026-01-01T04:50:00,server_036,40.00,37.00,119.00,137.00,43.00,3,20.16,0.72,383.00,37.42,Warning
2026-01-01T04:55:00,server_024,48.00,37.00,216.00,160.00,27.00,2,20.07,0.73,410.00,39.28,Warning
2026-01-01T05:00:00,server_039,45.00,43.00,187.00,152.00,36.00,1,22.91,0.76,377.00,38.12,Warning
2026-01-01T05:05:00,server_044,48.00,42.00,113.00,179.00,24.00,2,22.10,0.85,426.00,40.22,Warning
2026-01-01T05:10:00,server_026,47.00,46.00,152.00,183.00,50.00,2,21.22,0.77,406.00,39.13,Warning
2026-01-01T05:15:00,server_039,49.00,47.00,133.00,246.00,67.00,2,21.50,0.75,433.00,40.37,Warning
2026-01-01T05:20:00,server_011,31.00,30.00,76.00,93.00,16.00,3,22.81,0.80,321.00,35.07,Warning
2026-01-01T05:25:00,server_001,43.00,46.00,71.00,146.00,58.00,2,23.34,0.75,383.00,39.08,Warning
2026-01-01T05:30:00,server_010,39.00,36.00,105.00,252.00,91.00,3,21.57,0.83,383.00,36.78,Warning
2026-01-01T05:35:00,server_042,42.00,45.00,121.00,176.00,25.00,1,22.57,0.81,374.00,36.36,Warning
2026-01-01T05:40:00,server_003,47.00,47.00,190.00,361.00,66.00,2,21.74,0.80,427.00,40.01,Warning
2026-01-01T05:45:00,server_009,49.00,40.00,150.00,153.00,47.00,1,21.51,0.78,382.00,39.01,Warning
2026-01-01T05:50:00,server_033,25.00,28.00,85.00,60.00,19.00,2,21.71,0.79,287.00,32.96,Normal
2026-01-01T05:55:00,server_002,39.00,37.00,104.00,253.00,86.00,3,21.81,0.78,365.00,36.84,Warning
2026-01-01T06:00:00,server_027,50.00,49.00,122.00,235.00,71.00,1,22.39,0.80,405.00,39.85,Warning
2026-01-01T06:05:00,server_029,52.00,59.00,84.00,308.00,96.00,3,24.84,0.72,467.00,43.30,Warning
2026-01-01T06:10:00,server_040,44.00,30.00,139.00,328.00,51.00,2,24.61,0.77,374.00,37.50,Warning
2026-01-01T06:15:00,server_019,48.00,52.00,95.00,206.00,45.00,1,25.02,0.80,406.00,40.22,Warning
2026-01-01T06:20:00,server_004,41.00,55.00,87.00,134.00,92.00,3,23.61,0.82,404.00,39.27,Warning
2026-01-01T06:25:00,server_011,58.00,49.00,117.00,356.00,28.00,3,23.76,0.81,482.00,42.78,Warning
2026-01-01T06:30:00,server_032,42.00,45.00,129.00,348.00,79.00,2,24.47,0.75,400.00,40.03,Warning
